location,behaviour,temperature,humidity,noise_db,light_intensity,motion_level
Study Room,studying,25.35,49.06,38.03014944,481.978094,5.97
Cafe,eating,34.37,69.19,68.32643766,296.7412271,3.1
Dorm Room,sleeping,26.48,58.18,33.68567343,63.10366452,1.07
Bedroom,sleeping,22.16,75.86,13.71928258,34.97197713,3.81
Crowded place,stressed,35.12,59.75,103.3235422,764.1457032,8.3
Bedroom,stressed,34.89,,92.5699764,755.9872866,3.32
Dorm Room,sleeping,24.73,68.45,12.691217,-6.861488903,-0.52
Park,walking,33.9,77.24,95.2644323,658.6218774,9.53
Outdoor Campus,walking,27.34,,89.64700146,642.2744733,5.1
Cafeteria,sleeping,21.93,59.66,33.66910864,114.1386497,1.8
Library,studying,30.67,45.84,41.68014009,413.2400626,1.26
Meeting Room,stressed,35.25,65.13,104.7068424,881.1262355,4.26
Meeting Room,stressed,28.18,91.6,83.96920279,858.837292,8.13
Cafe,studying,26.54,48.28,51.38086736,423.796622,3.77
Cafe,studying,30.47,48.75,36.96958496,669.7043735,0.26
Meeting Room,stressed,28.92,64.48,96.045305,593.1134956,7.99
Bedroom,sleeping,28.78,64.12,29.25745628,68.33211607,1.05
Park,walking,28.69,76.43,57.59298794,925.6062645,3.72
Library,studying,23,58.45,37.17213074,315.5206538,1.52
Library,studying,22.8,61.9,60.27108596,250.3912026,-0.88
Dorm Room,sleeping,26.77,73.06,36.82642404,36.73332687,0.9
Outdoor Campus,walking,29.66,55.15,52.42582856,473.463266,8.14
Outdoor Campus,walking,34.32,71.1,103.246645,907.4824956,5.82
Outdoor Campus,walking,25.93,66.23,88.95663738,820.7456662,4.03
Dorm Room,sleeping,22.49,54.53,35.10779638,142.9645401,-1.13
Study Room,studying,30.41,55.48,35.48578114,624.0908149,3.49
Street,walking,29.4,80.8,91.7540567,454.8751678,4.63
Cafeteria,eating,26.58,76.81,77.12108878,486.8202724,3
Street,walking,35.14,57.04,66.9416884,457.9497355,10.48
Dining Room,eating,31.04,64.63,70.65533289,468.5226293,4.28
Dorm Room,walking,24.6,53.92,70.45192843,951.8627463,9.46
Cafe,eating,26.13,79.93,55.76296296,270.8263846,2.64
Traffic,stressed,33.78,58.36,89.04181084,487.2097444,6.31
Library,studying,31.31,45.01,59.70649107,296.9862655,3.84
Study Room,studying,22.77,51.96,46.51124625,390.4292569,3.97
Library,studying,27.61,47.83,18.08945511,572.9084291,1.61
Study Room,studying,22.06,45.49,54.99432959,403.7077815,3.99
Office,stressed,30.23,69.47,73.60952153,543.4776671,6.38
Outdoor Campus,eating,31.24,71.73,44.7199664,326.772466,3.37
Bedroom,sleeping,22.55,48.92,41.08580632,116.9191944,-0.45
Cafeteria,eating,24.98,54.43,89.38007045,500.7137253,3.33
Cafe,studying,22.99,43.39,37.78504331,478.1037839,-0.72
Cafe,studying,31.38,62.49,58.31180101,604.2773437,1.07
Study Room,studying,24.89,59.52,43.83600153,350.5226069,1.57
Cafe,studying,22.71,48.49,29.68531599,334.4252341,0.12
Street,walking,27.07,57.69,56.23577193,870.5400415,9.64
Bedroom,sleeping,25.47,60.97,25.35247837,122.459445,1.59
Cafe,eating,28.72,61.68,56.67294308,566.1488124,4.45
Outdoor Campus,walking,33.19,66.01,76.57149511,582.8092096,8.95
Library,studying,29.62,60.44,37.64741016,256.1036348,4.29
Meeting Room,stressed,34.41,74.49,95.18365747,463.0690453,6
Dining Room,eating,26.53,79.02,56.64384189,557.2996084,4.42
Cafe,studying,25.37,,58.75758343,625.983816,0.47
Dorm Room,eating,24.94,83.32,,281.0338296,5.23
Dorm Room,sleeping,22.51,54.39,28.17396486,92.1749279,3.47
Bedroom,sleeping,26.94,64.64,22.80094601,55.49485752,3.51
Study Room,studying,24.95,52.39,43.53140252,468.6372844,4.49
Meeting Room,stressed,36.41,90.5,75.32095482,464.645908,6.4
Bedroom,sleeping,28.39,,43.23837005,6.731503592,-1.57
Cafeteria,eating,31.21,59.64,84.35481301,457.5891105,1.25
Crowded place,stressed,32.49,71.44,85.38180539,614.5234036,10.96
Study Room,studying,30.13,48.78,48.15313857,431.5890532,3.85
Dining Room,eating,29.4,76.28,60.4224978,538.3525644,1.74
Library,studying,21.4,57.98,48.8736361,649.1502172,4.02
Cafe,studying,22.39,52.79,37.93754305,573.6721554,0.08
Dining Room,eating,26.48,67.76,74.8807019,529.0551222,3.49
Office,stressed,37.04,93.71,99.58692755,353.3412766,2.83
Cafe,studying,24.58,59.17,37.57948677,558.7069795,3.51
Cafe,studying,25.61,68.31,30.42494695,686.4645841,4.18
Cafeteria,walking,25.45,53.94,91.22560653,523.3199743,8.17
Cafe,studying,30.03,42.95,49.90769444,684.042374,2.06
Bedroom,sleeping,23.7,55.68,36.02006745,123.1752897,0.7
Study Room,studying,28.28,47.46,39.56309262,676.6846446,2.04
Street,walking,25.95,55.14,60.17152565,606.0611379,7.53
Cafeteria,eating,29.76,,77.16687653,555.0525251,5.44
Office,stressed,36.74,77.68,66.1511287,760.5135031,6.92
Dorm Room,sleeping,25.6,60.05,26.82678303,26.64429179,1.87
Bedroom,sleeping,28.16,68.59,15.6063074,162.5882281,1.63
Cafe,eating,28.08,84.87,90.4683227,343.1579725,4.45
Office,stressed,34.53,64.79,68.80642279,437.0776858,8.65
Cafeteria,eating,29.6,82.4,56.85388034,468.9750562,5.86
Bedroom,sleeping,29.2,57.96,22.25728986,76.60578357,0.05
Bedroom,sleeping,26.33,56.23,21.78730186,165.2723729,3.46
Dining Room,walking,35.24,54.91,55.34212153,724.1300353,6.6
Dining Room,eating,29.58,60.54,46.45208354,261.3943365,2.68
Traffic,studying,29.06,50.25,37.12216519,592.821663,2.6
Park,walking,34.9,56.96,88.56027255,897.005783,6.54
Study Room,studying,24.92,,40.87062106,471.5023136,2.84
Crowded place,stressed,35.66,67.93,93.20669894,897.4138469,4.83
Crowded place,stressed,28.01,66.31,91.89622779,520.0226683,9.25
Study Room,studying,24.66,54.1,52.0211069,675.3602823,0.2
Study Room,studying,25.72,51.62,36.24945669,703.6987972,3.59
Cafe,eating,26.52,50.48,80.7568397,587.9886856,4.67
Library,studying,30.2,42.46,60.66742121,565.7379956,1.39
Crowded place,stressed,31.16,67.7,85.48044488,457.5555823,8.39
Park,walking,28.99,55.42,108.4846862,766.0915344,7.52
Study Room,stressed,33.35,74.45,67.80538451,815.6759818,6.52
Dorm Room,sleeping,26.08,,38.27333478,174.1853361,0.58
Dining Room,eating,27.34,61.46,,482.8237484,5.74
Library,studying,26.17,49.26,43.92481212,630.1984823,0.88
Cafe,eating,30.34,80.25,60.34722825,515.4910298,1.33
Park,walking,30.81,67.67,46.93026538,477.5301815,10.1
Street,walking,35.91,75.38,91.19415971,708.6747635,6.76
Cafeteria,eating,33.33,,58.40074389,658.758744,4.89
Crowded place,sleeping,21.63,,40.64651516,91.42448365,-0.84
Dining Room,eating,26.36,72.03,56.7023475,573.1638046,4.64
Bedroom,sleeping,28.11,48.62,18.97796329,21.80493233,1.41
Park,walking,29.12,82.26,104.1140364,743.7661354,7.58
Park,walking,29.69,61.9,,507.1985182,9.39
Cafe,walking,34.54,53.03,91.09408138,637.2760333,7.94
Study Room,studying,24.86,61.09,38.25623442,648.7135744,1.36
Bedroom,sleeping,27.02,60.57,25.66848315,50.72854936,0.02
Library,studying,23.43,43.21,48.47794915,417.0716579,4.08
Library,studying,28.65,53.74,57.60034055,405.8598445,3.43
Street,walking,32.63,79.13,64.51381221,745.9197172,7.8
Dining Room,eating,32.22,53.86,88.05266901,337.2925655,4.38
Meeting Room,stressed,33.53,78.5,77.56612843,746.7322845,5.36
Study Room,studying,29.26,60.46,54.31117084,540.5520859,3.84
Park,walking,34.98,68.4,100.302952,705.0128603,9.4
Office,stressed,29.24,71.71,83.0578619,514.1747225,6.16
Traffic,stressed,30.02,71.03,75.87610861,579.9167357,8.46
Dorm Room,sleeping,21.53,76.29,17.73083853,166.4991665,2.55
Dining Room,eating,26.77,69.81,78.84005765,580.2234941,7.12
Cafe,eating,24.16,88.94,80.46721676,428.4624706,3.89
Study Room,stressed,29.39,75.76,72.71071574,480.4724111,6.4
Dorm Room,sleeping,22.46,75.87,38.93315339,160.2331627,1.31
Dorm Room,sleeping,25.26,49.47,37.39057647,170.261904,3.12
Cafeteria,eating,28.33,86.5,63.23710962,510.0620336,4.23
Study Room,studying,29.85,42.52,58.143629,385.9598723,1.21
Cafe,eating,25.16,85.03,59.2792335,568.2928541,3.23
Dining Room,eating,30.2,55,85.83878108,540.3987061,1.76
Dining Room,eating,28.56,77.55,52.95768746,538.9727723,8.11
Study Room,studying,24.28,49.54,40.32311072,707.460031,3.43
Meeting Room,stressed,31.09,71.07,102.9677345,562.7225105,9.31
Dorm Room,sleeping,28.22,46.99,31.43708814,146.2066265,-0.21
Park,walking,26.32,,87.73569211,538.9014103,5.16
Cafe,studying,22.55,56.8,58.86286534,465.9832764,2.6
Crowded place,stressed,29.44,76.53,88.45553966,764.9696652,9.97
Cafeteria,eating,32.56,50.34,70.75526254,307.2040936,3.51
Crowded place,stressed,29.59,,79.08679807,792.2702753,6.37
Office,stressed,34.32,66.98,101.5986816,,7.17
Bedroom,sleeping,27.6,,21.24030855,120.1454341,1.26
Study Room,studying,26.29,40.33,34.02227189,678.5527551,0.2
Library,studying,29.27,55.7,38.18789193,496.4994629,2.55
Park,stressed,37.16,69.27,71.19626401,607.6694378,5.55
Library,studying,27.03,45.89,54.25707092,686.0151434,-0.07
Park,walking,32.61,52.44,92.90691419,889.3908605,8.47
Dining Room,eating,27.05,43.47,76.95870427,411.5299294,5.51
Bedroom,sleeping,25.31,49.42,23.6757372,2.913801754,-0.24
Street,walking,27.15,82.8,72.16650999,417.3983439,5.22
Crowded place,eating,28.57,63.77,58.00528688,470.5616517,1.95
Office,sleeping,25.58,,26.54326309,117.6375717,2.63
Cafe,eating,27.53,65.11,60.24010187,305.8908398,7.08
Park,walking,31.05,64.79,99.37519894,876.9333711,8.72
Dorm Room,sleeping,25.33,63.84,14.64488963,110.8632887,-0.4
Bedroom,sleeping,21.05,54.75,40.00741218,,0.96
Dorm Room,sleeping,26.92,71.37,17.16391175,161.1633336,-0.06
Park,walking,27.98,72.78,78.58077074,816.1115647,10.97
Study Room,studying,24.57,61.02,44.23300488,550.1115533,2.42
Outdoor Campus,walking,29.12,50.73,88.14571433,538.7270691,5.22
Dorm Room,sleeping,22,59.77,16.16174805,110.7944041,2.82
Cafe,studying,25.69,52.43,60.77947687,491.7800245,2.34
Study Room,sleeping,24.9,55.68,25.55053969,16.85355957,3.93
Outdoor Campus,walking,32.7,78.19,47.0605239,871.1848456,4.01
Dorm Room,sleeping,23.4,53.78,22.40221385,17.91498682,1.33
Outdoor Campus,walking,31.97,56.6,101.5899663,521.9573941,8.5
Cafe,studying,29.34,,22.79424767,304.5939887,3.29
Park,walking,29.7,71.04,100.6981427,670.3792919,10.93
Dorm Room,sleeping,26.41,,33.04867146,121.1065589,2.21
Park,walking,26.04,76.28,98.26817879,454.437526,8.31
Outdoor Campus,walking,33.27,82.01,102.1203506,487.5360074,9.83
Cafeteria,eating,29.1,58.02,58.73717516,606.5811234,5.2
Meeting Room,sleeping,23.11,70.26,37.42973754,39.40144613,2.02
Dorm Room,sleeping,27.28,59.23,39.32382583,154.5572693,2.46
Dorm Room,sleeping,26.95,68.11,35.96126474,130.1953069,3.34
Bedroom,sleeping,27.45,58.07,40.21689346,32.88486625,1.67
Library,studying,26.42,49.78,33.55064266,644.1037151,1.83
Crowded place,stressed,31.48,88.71,106.0257341,536.2095371,6.82
Office,sleeping,24.05,50.73,29.46387688,66.20599278,3.85
Park,walking,27.87,82.02,83.90616339,695.2548985,6.71
Office,stressed,31.74,85.6,102.8261878,544.1227405,10.13
Street,walking,27.57,55.04,74.25850547,508.304784,5.49
Park,walking,26.89,50.03,60.65610182,525.2941467,5.66
Street,walking,34.93,56.57,68.72056119,940.4398232,7.1
Bedroom,sleeping,27.23,70.25,29.779417,114.83901,-0.15
Office,stressed,26.96,77.33,72.17878962,,8.48
Study Room,studying,22.73,53.72,60.61315721,690.8633469,2.27
Office,stressed,29.29,75.15,103.3909547,403.546463,4.93
Park,walking,24.44,82.81,49.12966639,882.4732732,6.95
Study Room,studying,26.08,48.58,32.99250606,685.7756119,4.13
Street,walking,25.39,75.81,77.72283175,451.6786213,7.75
Dorm Room,sleeping,26.65,63.5,27.69548348,72.35776214,1.42
Cafe,studying,29.55,62.44,43.28288463,424.0448803,3.21
Cafe,studying,28.28,41.74,26.42819906,583.0748737,2.83
Library,studying,24.21,55.28,40.94889504,574.7959477,3.14
Library,studying,23.81,50.36,65.56725483,299.9409026,3.83
Dining Room,eating,28.42,51.29,46.36858507,351.8414247,3.69
Meeting Room,stressed,30.72,86.33,78.43309131,580.5793497,4
Cafe,eating,25.52,54.87,48.86332885,431.8956325,4.04
Outdoor Campus,walking,35.46,78.2,78.03652001,768.3098689,6.33
Outdoor Campus,walking,32.34,67.5,87.5867454,707.4185027,4.99
Outdoor Campus,walking,27.96,,89.10900095,901.33545,9.19
Dorm Room,sleeping,22.62,56.91,17.91952551,90.83478213,1.52
Dorm Room,sleeping,28.12,68.45,21.55008214,101.1515498,1.93
Traffic,stressed,30.14,82.84,97.43853428,798.2352223,5.77
Cafe,eating,24.87,76.92,77.68112735,328.7917464,5.08
Study Room,studying,24.08,60.96,24.05718223,657.2917362,1.95
Dorm Room,sleeping,28.47,55.19,28.29592817,19.55006585,2.02
Traffic,stressed,30.26,,93.90221194,495.2853458,8.28
Street,walking,26.82,52.61,99.85276563,675.6745882,7.81
Library,studying,24.74,44.88,32.52123635,400.3900153,4.4
Library,studying,27.5,46.5,24.89994784,694.365067,0.71
Park,walking,30.78,70.08,71.21564527,453.9667305,7.61
Traffic,stressed,27.02,,101.1801213,911.3451227,8.52
Cafe,studying,25.12,58.88,58.60913872,624.3698129,2.36
Cafe,eating,26.1,46.01,65.77940874,553.0078944,5.12
Dining Room,eating,24.5,55.38,47.87329313,392.2680124,3.23
Cafe,studying,29.03,42.45,57.54242066,535.076997,3.89
Crowded place,stressed,33.68,68.43,91.68356228,711.8505967,4.25
Park,walking,35.17,54.4,85.00865117,664.3165388,6.05
Office,stressed,31.49,87.94,97.88652485,448.0180244,9.05
Office,stressed,30.96,93.52,102.0942216,846.6088882,4.06
Cafe,walking,28.64,60.87,103.0709546,733.5827187,9.1
Bedroom,sleeping,22.36,54.99,29.06453995,115.7110613,-0.7
Study Room,studying,26.52,50.66,49.75851685,398.4862684,3.37
Street,walking,32.01,72.22,87.93847608,506.9621326,8
Traffic,stressed,27.35,88.22,66.04431017,838.5957884,9.22
Traffic,stressed,34.01,82.38,80.75529642,429.4361286,5.92
Study Room,studying,29.02,,50.13281957,336.0733321,-0.19
Crowded place,stressed,31.16,78.29,90.03723118,878.5023798,6.16
Outdoor Campus,walking,26.73,55.45,69.56692554,857.6368651,9.09
Study Room,studying,29.25,62.8,48.83615097,391.5662602,4.23
Office,stressed,29.95,75.06,77.28366073,359.0833369,5.39
Traffic,stressed,34.71,78.63,100.5416303,849.8915086,9.53
Study Room,studying,24.56,47.92,44.58580103,325.5102452,3.34
Dorm Room,sleeping,21.52,50.16,31.36751934,77.97754815,1.66
Dorm Room,sleeping,22.57,63.54,31.01047912,162.1638885,3.17
Library,studying,30.53,41.92,33.47370526,681.2335186,1.72
Library,studying,29.9,54.1,29.77803713,662.9922795,2.46
Crowded place,stressed,34.68,56.25,92.50243141,612.0033185,8.57
Dorm Room,sleeping,21.26,69.3,18.86851209,80.54912031,0.92
Bedroom,sleeping,22.66,67.69,16.3304244,69.48608954,3.31
Cafeteria,eating,31.2,80.41,47.38446749,384.6853885,4.39
Crowded place,stressed,35.72,79.96,83.88912396,710.3348177,11.52
Cafeteria,eating,30.51,54.47,57.99280553,425.3527388,5.48
Crowded place,stressed,33.84,65.38,105.3450522,,10.4
Meeting Room,stressed,33.46,78.83,89.81014661,483.1901784,9.17
Street,walking,31.09,74.01,99.14091363,582.6088337,6.26
Street,walking,34.3,62.09,97.04234299,511.5861561,10.39
Bedroom,sleeping,27.5,53.45,29.21558424,7.074631957,0.92
Crowded place,stressed,29.9,82.8,113.2922897,356.2433329,4.09
Dorm Room,sleeping,28.59,55.38,15.65113327,144.8727625,1.9
Library,studying,29.3,61.33,40.26916057,345.9596036,2.87
Dorm Room,sleeping,28.86,63.94,48.17176096,36.04315824,-1.77
Street,studying,23.1,57.79,28.77988622,372.2871778,3.99
Dorm Room,sleeping,22.31,63.95,29.73178297,77.52944208,4.34
Study Room,walking,27.26,54.21,85.35796014,418.0390167,7.84
Meeting Room,stressed,32.86,62.9,83.39397209,,10.89
Meeting Room,stressed,34.2,,94.37329882,603.6364622,6.19
Dorm Room,sleeping,22.75,50.27,19.64106231,13.57535045,0.08
Park,walking,28.36,53.33,93.14205534,619.702116,10.67
Park,walking,28.92,69.1,77.14106922,412.2927671,7.89
Street,walking,35.49,56.54,84.25490134,633.3722336,12.16
Cafe,eating,34.11,46.41,52.95142,414.2825023,4.84
Traffic,stressed,30.81,72.7,88.61714974,905.4404581,4.81
Office,sleeping,27.77,74.06,39.37678853,87.9577726,3.17
Dorm Room,sleeping,26.94,69.51,30.29056968,-12.25359213,3.99
Cafe,eating,27.85,65.15,80.85179158,369.4003021,4.77
Library,studying,25.89,,49.68066777,411.0379898,1.36
Dining Room,eating,27.83,59.49,72.03783165,429.6183645,4.03
Bedroom,sleeping,25.66,53.78,22.42813008,70.50929728,3.37
Meeting Room,sleeping,22.27,51.96,14.97654861,158.6329773,-0.19
Street,walking,34.87,75.34,64.4334622,732.0357655,9.46
Dining Room,eating,29.79,,73.14696746,235.9784966,3.46
Traffic,stressed,27.2,56.87,108.6471731,800.3391815,8.91
Outdoor Campus,walking,29.09,54.63,107.1214898,582.1363522,9.07
Cafe,eating,23.32,54.65,60.68025922,362.2698057,2.87
Dining Room,eating,35.56,69.59,65.9364707,517.9276559,5.88
Library,studying,25.47,58.48,62.65492609,462.9244315,1.61
Outdoor Campus,walking,29.32,62.97,56.72167328,914.0260746,5.45
Outdoor Campus,walking,30.47,77.08,99.15043292,413.8117918,9.33
Street,walking,26.41,71.17,78.61532092,828.4675697,12.26
Office,stressed,32.06,79.63,65.94591056,652.4133906,6.74
Study Room,studying,26.14,52.91,53.99318117,651.5647576,4.93
Crowded place,stressed,36.35,,95.67518681,,4.55
Library,studying,28.47,59.92,25.07387816,523.4856186,1.54
Cafe,studying,30.06,61.64,32.06118443,365.2054995,2.59
Park,walking,35.16,51.43,104.3117799,473.3011631,8.97
Library,studying,29.66,39.45,58.30549525,255.9691492,1.68
Cafe,eating,27.84,73.28,52.85370798,419.7327145,1.08
Study Room,studying,29.18,50.77,52.96595642,580.628296,2.07
Library,studying,24.84,53.93,35.21826641,460.0463896,1.1
Meeting Room,stressed,27.93,79.82,75.17942754,,3.02
Cafe,eating,29.46,53.16,77.17564473,354.0071199,4.04
Dorm Room,sleeping,23,63.77,28.17849776,50.64196123,1.33
Park,walking,28.62,86.08,73.40472144,728.5485168,9.05
Dorm Room,sleeping,22.23,71.12,33.52216431,83.5223722,0.03
Cafe,walking,30.17,82.93,59.76602906,939.5795121,8.25
Cafe,eating,31.87,54.32,72.14095252,645.7840181,1.78
Park,walking,32.15,62.21,77.96412368,586.9892802,7.89
Crowded place,stressed,31.11,,83.94734839,325.2664259,4.47
Library,studying,26.6,52.13,53.73045257,481.6921152,1.74
Office,stressed,28.49,73.08,71.1430731,390.8862294,6.68
Bedroom,sleeping,22.62,49.23,41.46604174,183.6611529,1.74
Library,studying,27.2,,44.70250461,650.5846917,1.23
Library,studying,24.36,62.09,43.57752471,450.2000867,-0.21
Meeting Room,stressed,35.66,,68.30855634,,3.16
Bedroom,sleeping,27,69.96,31.80034974,138.3195779,2.35
Dorm Room,sleeping,21.23,74.87,35.33526537,27.08306245,-1.1
Bedroom,sleeping,27.15,67.61,33.03496202,31.59843801,3.02
Crowded place,stressed,34.09,75.48,101.6367046,501.2430355,3.4
Street,walking,27.54,80.37,75.16158535,708.2707327,5.73
Cafe,studying,29.73,43.67,41.29063037,345.027804,3.21
Crowded place,stressed,30.9,76.39,102.7309962,637.0486312,7.38
Street,walking,32.77,,99.00568793,775.734485,8.01
Study Room,studying,26.61,45.2,38.3433401,392.0395738,1.79
Dorm Room,sleeping,24.2,68.99,14.39520715,123.5193098,-0.72
Bedroom,sleeping,26.56,68.59,17.50993868,126.6342947,-0.57
Park,stressed,30.07,81.59,86.88606054,470.8566144,2.16
Office,stressed,28.96,69.74,77.89810825,600.1965956,9.82
Cafeteria,eating,29.72,62.39,81.53044891,305.0763025,5.79
Dining Room,eating,25.89,78.52,80.70887841,453.0014156,2.13
Meeting Room,stressed,30.71,57.88,82.18570295,956.5988314,2.73
Dorm Room,sleeping,26.45,48.44,35.86543897,150.1534142,4.55
Library,studying,23.98,56.28,38.11154425,420.9039793,1.97
Cafe,studying,24.78,,41.22978408,272.1598651,4.42
Crowded place,stressed,28.73,58.53,94.00930488,886.5395482,4.86
Bedroom,sleeping,21.84,47.06,43.2421277,95.92130254,-0.95
Traffic,walking,28.06,54.76,69.71450137,411.2897628,4.64
Cafe,eating,30.96,62.16,,299.3737898,3.57
Traffic,stressed,31.34,71.58,67.71483262,948.3138325,7.36
Bedroom,sleeping,24.35,50.36,12.90803668,77.04356563,1.32
Dorm Room,sleeping,20.55,64.09,28.57952049,98.6318584,3.38
Library,studying,29.41,52.24,30.57979915,349.2190818,4.7
Meeting Room,stressed,32.86,64.86,96.56239551,949.4059376,5.01
Study Room,studying,21.8,54.15,50.47354265,250.9628432,2.7
Cafe,studying,22.69,55.46,69.49742383,477.0115458,1.66
Street,walking,27.58,81.54,71.02856202,727.5967667,8.85
Crowded place,stressed,34.21,67.83,103.3952193,537.1568826,7.47
Traffic,stressed,35.04,69.48,71.24960781,657.8283052,7.29
Meeting Room,stressed,32.73,75.07,95.82061558,439.5847931,9.18
Office,stressed,34,,69.80643432,561.7941183,5.36
Dorm Room,sleeping,26.86,68.49,14.61001949,80.23718398,0.95
Study Room,studying,30.38,44.5,61.26553791,535.0937511,3.72
Office,stressed,27.16,79.64,101.97261,492.492811,5.07
Traffic,stressed,34.06,59.15,72.20360089,857.5263301,8.79
Study Room,studying,30.11,48.35,54.26021443,615.18213,0.68
Traffic,stressed,29.23,63.73,90.47785051,919.9764152,7.55
Dorm Room,sleeping,24.69,61.75,36.52636673,,2.68
Bedroom,sleeping,27.77,61.68,28.4351357,37.97422705,1.89
Meeting Room,stressed,31.77,64.48,77.57076153,542.4991233,6.99
Dorm Room,sleeping,24.39,70.06,41.12690588,154.3548672,1.95
Office,stressed,30.45,64.07,87.71315659,600.2042276,4.97
Crowded place,stressed,29.84,57.86,98.46189144,632.7044384,6.04
Bedroom,sleeping,26.45,65.89,25.1840363,97.17372818,0.46
Street,stressed,29.74,72.34,68.30180796,831.6160778,7.91
Office,stressed,32.84,59.33,75.29102724,662.986704,9.63
Cafeteria,eating,27.31,70.79,74.61462832,342.2163296,4.5
Dining Room,eating,25.57,70.58,36.23399274,338.6231406,4.69
Dorm Room,sleeping,24.72,53.57,37.74536995,73.26946326,2.21
Dining Room,eating,24.55,56.88,85.52909201,389.8084434,1.8
Cafe,studying,22.96,57.53,54.90080766,288.0113042,2.82
Library,studying,26.48,47.94,24.42956381,454.2652716,6.29
Library,studying,24.15,64.04,51.00494883,593.3356427,1.87
Outdoor Campus,walking,28.5,51.17,72.35173619,420.7575798,10.23
Office,stressed,30.53,77.9,66.25701577,434.1227282,4.95
Dorm Room,sleeping,26.12,48.58,33.85464331,9.330528691,2.71
Dorm Room,sleeping,26.12,64.21,41.77674569,82.66558531,3.92
Dining Room,eating,25.1,85.68,52.79908213,353.7475638,2.31
Outdoor Campus,walking,32.31,80.94,75.08628469,523.0799948,9.87
Park,walking,31.02,84.58,86.59601582,404.74683,5.72
Study Room,studying,28.64,36.34,51.50193616,653.356789,3.06
Cafe,eating,33.22,76.38,62.04092438,418.7225356,4.22
Outdoor Campus,walking,25.23,61.43,81.15418749,947.4486565,6.86
Dining Room,eating,28.5,79.94,42.85766764,256.1686882,1.33
Dorm Room,sleeping,21.31,72.21,18.17450666,22.22484289,-3.36
Park,walking,24.65,83.33,71.49206172,459.1309682,10.83
Street,walking,31.56,60.02,64.52945103,706.1931167,5.5
Park,walking,35.3,74.61,62.91371384,818.8593242,7.76
Outdoor Campus,walking,27.71,76.39,99.78583742,454.4145298,5.8
Cafeteria,eating,23.55,,67.84616706,425.533663,6.56
Outdoor Campus,walking,33.02,79.72,53.60055494,832.1337035,7.6
Outdoor Campus,stressed,30.56,71.66,112.2535997,430.4731692,8.78
Bedroom,sleeping,28.62,62.41,24.17005464,33.94883684,3.02
Bedroom,sleeping,26.92,62.48,28.3609429,165.9601264,4.29
Outdoor Campus,walking,30.57,60.82,77.36496715,452.7363503,10.96
Study Room,studying,28.01,53.89,32.66464051,277.8235388,2.66
Park,walking,32.2,79.35,70.83816431,735.1810768,7.04
Cafe,studying,27.78,47.14,48.31927442,421.1715275,4.2
Dorm Room,sleeping,28.81,65.5,43.24815458,156.1557115,1.61
Cafeteria,eating,28.84,60.06,62.18608687,250.9644184,2.11
Street,walking,25.28,54.03,97.30436316,538.4488587,10.32
Park,sleeping,25.31,50.59,35.34234786,81.88465801,0.39
Study Room,walking,34.08,72.63,65.43385248,555.95994,9.72
Dorm Room,sleeping,21.54,57.13,25.23836436,145.8949928,2.24
Cafe,studying,27.29,46.37,40.64344544,561.8035072,1.08
Dining Room,eating,32.98,47.18,72.31973318,460.9975391,3.9
Cafeteria,eating,25.37,68.26,84.93728132,435.1336645,3.56
Park,walking,31.42,58.05,102.1794095,654.8344422,7.52
Bedroom,sleeping,24.38,53.55,16.56122662,119.0905204,1.48
Bedroom,sleeping,27.52,70.97,35.76596767,139.2141543,2.3
Street,walking,33.36,52.44,93.78429598,895.7120845,8.32
Library,studying,25.22,43.07,58.79261713,418.2303952,1.64
Library,studying,27.57,52.28,48.47864269,474.9566143,0.84
Cafeteria,stressed,32.94,95.96,91.24849181,400.3054981,7.8
Cafe,eating,31.18,75.3,49.43719111,433.8397133,4.21
Outdoor Campus,walking,28.52,79.36,106.1702362,910.1935412,7.39
Outdoor Campus,walking,32.38,75.6,55.91253656,813.9662938,8.17
Cafeteria,eating,32.2,,56.56341182,280.6475675,5.15
Cafe,eating,26.23,68.3,79.82076193,648.4113107,2.47
Crowded place,stressed,30.53,57.91,95.68821234,328.0501362,9.44
Dorm Room,sleeping,28.99,53.02,13.7844878,155.6468249,2.01
Bedroom,sleeping,25.95,67.43,18.95271379,123.477371,3.7
Dorm Room,sleeping,26.51,49.23,29.99500365,34.93262223,1.55
Library,studying,31.18,61.32,32.96613763,385.5924718,1.97
Cafeteria,eating,27.99,71.09,83.23204862,404.5351553,4.59
Street,walking,27.95,62.68,91.87636175,576.7886155,4.16
Study Room,studying,29.85,62.7,56.03034192,274.6299494,0.21
Street,walking,36.16,74.73,106.7122395,690.1083393,8.95
Study Room,studying,26.06,47.63,52.99418744,385.1847756,3.67
Traffic,studying,27.73,58.74,59.11837666,484.1879107,3.14
Bedroom,sleeping,25.35,61.5,31.27544065,47.79286876,1.67
Park,walking,28.5,67.18,45.6748811,595.6545349,4.41
Outdoor Campus,walking,28.55,71.73,84.00189385,790.6903591,9.81
Park,walking,35.21,72.79,68.42293014,659.5611291,9.93
Cafe,eating,27.53,75.67,50.58280297,526.2143531,4.51
Bedroom,eating,30.01,73.35,53.14612295,549.7833734,3.17
Dining Room,eating,29.53,68.98,89.19439737,455.1068083,2.74
Cafe,eating,27.4,81.71,47.6420538,600.9253088,2.65
Meeting Room,walking,25.44,54.27,80.42648191,435.9863501,9.77
